UTC Time;Battery Voltage (V);Engine RPM
0022-03-17T15:51:31;13,5;4646
0022-03-17T15:51:41;13,5625;4614
0022-03-17T15:51:51;13,5;4623
0022-03-17T15:52:01;13,5;4668
0022-03-17T15:52:11;13,4375;4655
0022-03-17T15:52:21;13,4375;4670
0022-03-17T15:52:31;13,5;4677
0022-03-17T15:52:41;13,5625;4529
0022-03-17T15:52:51;13,5;4291
0022-03-17T15:53:01;13,375;4170
0022-03-17T15:53:11;13,4375;4120
0022-03-17T15:53:21;13,5;4225
0022-03-17T15:53:31;13,4375;4246
0022-03-17T15:53:41;13,5625;4183
0022-03-17T15:53:51;13,5;4149
0022-03-17T15:54:01;13,5625;4233
0022-03-17T15:54:11;13,4375;4133
0022-03-17T15:54:21;13,5625;4105
0022-03-17T15:54:31;13,4375;4195
0022-03-17T15:54:41;13,625;4225
0022-03-17T15:55:01;13,4375;4182
0022-03-17T15:55:11;13,5;4199
0022-03-17T15:55:21;13,4375;4197
0022-03-17T15:55:31;13,5;3600
0022-03-17T15:55:41;13,4375;3521
0022-03-17T15:55:51;13,5;3511
0022-03-17T15:56:01;13,5;3444
0022-03-17T15:56:11;13,5;3501
0022-03-17T15:56:21;13,5;3376
0022-03-17T15:56:31;13,5;3503
0022-03-17T15:56:41;13,5;3367
0022-03-17T15:56:51;13,375;3407
0022-03-17T15:57:01;13,375;3360
0022-03-17T15:57:11;13,375;3417
0022-03-17T15:57:21;13,375;3445
0022-03-17T15:57:31;13,4375;3416
0022-03-17T15:57:41;13,5;3342
0022-03-17T15:57:51;13,375;3277
0022-03-17T15:58:01;13,4375;3185
0022-03-17T15:58:11;13,5;3093
0022-03-17T15:58:21;13,5;3034
0022-03-17T15:58:31;13,5625;2772
0022-03-17T15:58:41;13,4375;2753
0022-03-17T15:58:51;13,3125;2703
0022-03-17T15:59:01;13,5625;2704
0022-03-17T15:59:11;13,375;2297
0022-03-17T15:59:21;13,4375;2196
0022-03-17T15:59:31;13,4375;2271
0022-03-17T15:59:41;13,4375;2117
0022-03-17T15:59:51;13,4375;2250
0022-03-17T16:00:01;13,375;4623
0022-03-17T16:00:11;13,375;4619
0022-03-17T16:00:21;13,4375;4610
0022-03-17T16:00:31;13,375;4622
0022-03-17T16:00:41;13,5;4619
0022-03-17T16:00:51;13,5625;4690
0022-03-17T16:01:01;13,5;4677
0022-03-17T16:01:11;13,5;4693
0022-03-17T16:01:21;13,5;4726
0022-03-17T16:01:31;13,5;4389
0022-03-17T16:01:41;13,5;4507
0022-03-17T16:01:51;13,5625;4406
0022-03-17T16:02:01;13,5;4341
0022-03-17T16:02:11;13,5;4410
0022-03-17T16:02:21;13,4375;4560
0022-03-17T16:02:31;13,4375;4486
0022-03-17T16:02:41;13,5;4419
0022-03-17T16:02:51;13,4375;4500
0022-03-17T16:03:01;13,375;4428
0022-03-17T16:03:11;13,5;4289
0022-03-17T16:03:21;13,4375;4407
0022-03-17T16:03:31;13,375;4460
0022-03-17T16:03:41;13,4375;4426
0022-03-17T16:03:51;13,4375;4419
0022-03-17T16:04:01;13,4375;3524
0022-03-17T16:04:11;13,4375;3302
0022-03-17T16:04:21;13,5;3211
0022-03-17T16:04:31;13,5;3465
0022-03-17T16:04:41;13,5;3396
0022-03-17T16:04:51;13,5;3402
0022-03-17T16:05:01;13,5;3479
0022-03-17T16:05:11;13,5;3514
0022-03-17T16:05:21;13,4375;3524
0022-03-17T16:05:31;13,5;3437
0022-03-17T16:05:41;13,4375;3334
0022-03-17T16:05:51;13,375;3337
0022-03-17T16:06:01;13,5625;3340
0022-03-17T16:06:11;13,5625;3318
0022-03-17T16:06:21;13,5;3069
0022-03-17T16:06:31;13,4375;2940
0022-03-17T16:06:41;13,5;2923
0022-03-17T16:06:51;13,4375;2932
0022-03-17T16:07:01;13,4375;2897
0022-03-17T16:07:11;13,4375;2888
0022-03-17T16:07:21;13,3125;2728
0022-03-17T16:07:31;13,4375;2764
0022-03-17T16:07:41;13,375;2736
0022-03-17T16:07:51;13,4375;2693
0022-03-17T16:08:01;13,4375;2614
0022-03-17T16:08:11;13,4375;2347
0022-03-17T16:08:21;13,4375;2103
0022-03-17T16:08:31;13,375;1993
0022-03-17T16:08:41;13,4375;1966
0022-03-17T16:08:51;13,375;1871
0022-03-17T16:09:01;13,3125;1725
0022-03-17T16:09:11;13,3125;1720
0022-03-17T16:09:21;13,375;2094
0022-03-17T16:09:31;13,375;2544
0022-03-17T16:09:41;13,3125;2678
0022-03-17T16:09:51;13,3125;2653
0022-03-17T16:10:01;13,4375;2592
0022-03-17T16:10:11;13,375;2145
0022-03-17T16:10:21;13,4375;1796
0022-03-17T16:10:31;13,4375;2294
0022-03-17T16:10:41;13,375;2658
0022-03-17T16:10:51;13,4375;2874
0022-03-17T16:11:01;13,4375;2426
0022-03-17T16:11:11;13,375;2334
0022-03-17T16:11:21;13,3125;1783
0022-03-17T16:11:31;13,5;1768
0022-03-17T16:11:39;13,375;0
0000-00-00T00:00:05;13,3125;0
0000-00-00T00:00:05;13,25;0
0000-00-00T00:00:15;13,1875;0
0000-00-00T00:00:25;13,125;0
0000-00-00T00:00:35;13,0625;0
0000-00-00T00:00:45;13,0625;0
0000-00-00T00:00:55;13;0
0000-00-00T00:01:05;13;0
0000-00-00T00:01:15;13;0
0000-00-00T00:01:25;13;0
0000-00-00T00:01:35;13;0
0000-00-00T00:01:45;12,9375;0
0000-00-00T00:01:55;13;0
0000-00-00T00:02:05;12,9375;0
0000-00-00T00:02:15;12,9375;0
0000-00-00T00:02:25;11,125;2075
0000-00-00T00:02:34;12,8125;2054
0000-00-00T00:02:44;12,8125;2173
0000-00-00T10:56:36;12,75;2162
0000-00-00T10:56:46;13,25;2151
0000-00-00T10:56:56;13,25;2170
0000-00-00T10:57:06;13,3125;2216
0000-00-00T10:57:16;13,3125;2214
0022-03-18T10:57:26;13,3125;2212
0022-03-18T10:57:36;13,3125;2239
0022-03-18T10:57:46;13,4375;2246
0022-03-18T10:57:56;13,375;2259
0022-03-18T10:58:06;13,3125;2283
0022-03-18T10:58:16;13,375;2276
0022-03-18T10:58:26;13,3125;2302
0022-03-18T10:58:36;13,375;2290
0022-03-18T10:58:46;13,5625;2589
0022-03-18T10:58:56;13,4375;2141
0022-03-18T10:59:06;13,4375;2709
0022-03-18T10:59:16;13,4375;2731
0022-03-18T10:59:26;13,375;2756
0022-03-18T10:59:36;13,375;1779
0022-03-18T10:59:46;13,3125;1805
0022-03-18T10:59:56;13,3125;1805
0022-03-18T11:00:06;13,3125;1817
0022-03-18T11:00:16;13,375;1693
0022-03-18T11:00:26;13,3125;2207
0022-03-18T11:00:36;13,375;2179
0022-03-18T11:00:46;13,3125;1670
0022-03-18T11:00:56;13,25;1754
0022-03-18T11:01:06;13,4375;1752
0022-03-18T11:01:16;13,3125;1755
0022-03-18T11:01:26;13,3125;1775
0022-03-18T11:01:36;13,3125;1809
0022-03-18T11:01:46;13,375;1785
0022-03-18T11:01:56;13,4375;1805
0022-03-18T11:02:06;13,375;1770
0022-03-18T11:02:16;13,4375;2063
0022-03-18T11:02:26;13,5;2203
0022-03-18T11:02:36;13,375;2393
0022-03-18T11:02:46;13,4375;2354
0022-03-18T11:02:56;13,375;2334
0022-03-18T11:03:06;13,4375;2388
0022-03-18T11:03:16;13,4375;2398
0022-03-18T11:03:26;13,3125;2433
0022-03-18T11:03:36;13,375;2419
0022-03-18T11:03:46;13,3125;2847
0022-03-18T11:03:56;13,375;2880
0022-03-18T11:04:06;13,375;4012
0022-03-18T11:04:16;13,5;4010
0022-03-18T11:04:26;13,5;3975
0022-03-18T11:04:36;13,375;3949
0022-03-18T11:04:46;13,3125;1745
0022-03-18T11:04:56;13,3125;1734
0022-03-18T11:05:06;13,25;1737
0022-03-18T11:05:16;13,25;1754
0022-03-18T11:05:26;13,1875;1759
0022-03-18T11:05:36;13,125;1757
0022-03-18T11:05:46;13,4375;2445
0022-03-18T11:05:56;13,25;1869
0022-03-18T11:06:06;13,25;1741
0022-03-18T11:06:16;13,1875;1761
0022-03-18T11:06:26;13,125;1768
0022-03-18T11:06:36;13,25;1737
0022-03-18T11:06:46;13,3125;2949
0022-03-18T11:06:55;13,3125;4699
0022-03-18T11:07:00;13,375;4627
0022-03-18T11:07:10;13,375;4627
0022-03-18T11:07:20;13,4375;4610
0022-03-18T11:07:30;13,4375;4614
0022-03-18T11:07:40;13,4375;4623
0022-03-18T11:07:50;13,375;4618
0022-03-18T11:08:00;13,5625;4623
0022-03-18T11:08:10;13,4375;4642
0022-03-18T11:08:20;13,375;4646
0022-03-18T11:08:30;13,4375;4651
0022-03-18T11:08:40;13,5625;4829
0022-03-18T11:08:50;13,4375;4266
0022-03-18T11:09:00;13,4375;4207
0022-03-18T11:09:10;13,5625;4157
0022-03-18T11:09:20;13,5625;4138
0022-03-18T11:09:30;13,5;4307
0022-03-18T11:09:40;13,5;4189
0022-03-18T11:09:50;13,5625;4213
0022-03-18T11:10:00;13,5625;4179
0022-03-18T11:10:10;13,375;4157
0022-03-18T11:10:20;13,4375;4174
0022-03-18T11:10:30;13,4375;4149
0022-03-18T11:10:40;13,5;4158
0022-03-18T11:10:50;13,5625;4229
